data_entrada,socio,tipo_socio,cargo,empresa,cnpj_empresa,uf_empresa,fonte
2024-04-02,NILEIDE GUERRA DE ABREU,PF,Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP,minha_receita
2024-04-12,VANESSA SCALANTE JOHANN,PF,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS,minha_receita
2024-05-01,RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,PF,Sócio-Administrador,ACQUA&CO CAPITAL LTDA,54958358000150,SP,minha_receita
2024-07-16,CINTIA SILVA OLIVEIRA COSTA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2024-07-16,GUARACI SILLOS MOREIRA,PF,Sócio-Administrador,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2024-07-16,GUSTAVO RODRIGUES OLIVEIRA E SILVA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2024-07-16,JOSE ROBERTO SILVA OLIVEIRA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2024-09-20,VIVIANE APARECIDA RODRIGUES AFONSO,PF,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP,minha_receita
2024-10-02,RAFAEL FLORES NUNES,PF,Diretor,HARBOUR HOLDING S.A,57529533000182,RS,minha_receita
2024-10-24,3P HOLDING LTDA,PJ,Sócio,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP,minha_receita
2024-10-24,ALEXANDRE PIOVESAN,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP,minha_receita
2024-10-24,LUCIANO WAJCHENBERG,PF,Sócio-Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP,minha_receita
2024-10-24,RODRIGO FRANCISCO DOS SANTOS,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP,minha_receita
2024-11-01,MAURICIO ANTONIO QUADRADO,PF,Presidente,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP,minha_receita
2024-11-01,REINALDO HOSSEPIAN SALLES LIMA,PF,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP,minha_receita
2024-11-01,ROBERTO MUSTO,PF,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP,minha_receita
2024-12-17,HARBOUR HOLDING S.A,PJ,Sócio,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,36040900000100,RS,minha_receita
2025-01-15,LUIZ ANTONIO CARDOSO,PF,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",09463122000199,SP,minha_receita
2025-01-20,ANDRE TAVARES CASTANHEIRA,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2025-01-22,ACQUA&CO CAPITAL LTDA,PJ,Sócio,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,28810952000190,SP,minha_receita
2025-03-17,BRUNO CUNHA ALMEIDA,PF,Diretor,BANCO PAULISTA S.A.,61820817000109,SP,minha_receita
2025-03-26,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,PJ,Sócio,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP,minha_receita
2025-05-05,ALEXANDRE MARCHESANI CANATA,PF,Administrador,AXOR ASSET LTDA,47917164000141,SP,minha_receita
2025-06-13,ROGERIO PENTEADO FELGUEIRAS,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2025-06-25,GIOVANA DIRENE CHAIA,PF,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP,minha_receita
2025-06-25,VICTOR DIRENE CHAIA,PF,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP,minha_receita
2025-07-01,RICARDO SILVA VASCONCELLOS,PF,Administrador,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP,minha_receita
2025-07-23,LUIS FERNANDO DE ALMEIDA,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2025-08-12,DANIEL BUENO VORCARO,PF,Presidente,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,09526594000143,SP,minha_receita
2025-09-02,ISABELA BENATTI RISPOLI,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2025-09-02,MARCELO DIAS PEREZ,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2025-09-29,ADRIANO GARZON CORREA,PF,Administrador,VIKING PARTICIPACOES LTDA,07875796000175,MG,minha_receita
2025-09-29,STERN FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PJ,Sócio,VIKING PARTICIPACOES LTDA,07875796000175,MG,minha_receita
2025-10-24,FLAVIO DANIEL AGUETONI,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2025-11-10,MARCELO ALVES DE CARVALHO ALMEIDA,PF,Diretor,BANCO PAULISTA S.A.,61820817000109,SP,minha_receita
2025-11-17,FLAVIO DANIEL AGUETONI,PF,Administrador,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP,minha_receita
2025-12-08,LUCAS MATTIONI BRENDLER,PF,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS,minha_receita
2025-12-08,LUIZ HENRIQUE MIELKE WICKERT,PF,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS,minha_receita
2025-12-16,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Sócio-Administrador,TERIS PARTICIPACOES LTDA,64079695000121,SP,minha_receita
2025-12-16,MARIA TEREZA ABBOUD JUNQUEIRA BIAVA,PF,Sócio,TERIS PARTICIPACOES LTDA,64079695000121,SP,minha_receita
2026-01-15,ANA LUIZA MARRARA GIANCOLI,PF,Sócio,BE HOLDING LTDA,64525602000145,SP,minha_receita
2026-01-15,JOSE ROBERTO GIANCOLI FILHO,PF,Sócio-Administrador,BE HOLDING LTDA,64525602000145,SP,minha_receita
2026-01-20,LUIS FERNANDO DE ALMEIDA,PF,Administrador,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP,minha_receita
2026-02-09,TERIS PARTICIPACOES LTDA,PJ,Sócio,ID PARTNERS LTDA,52167766000169,SP,minha_receita
2026-02-11,JACQUELINE FULAS BIFON PAPA,PF,Administrador,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP,minha_receita
2026-02-11,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.,PJ,Sócio,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP,minha_receita
2026-02-24,MARIANA MARCHON BARCELLOS SILVA,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP,minha_receita
2026-02-24,SEIGO NAKAMURA,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP,minha_receita
2026-03-17,BE HOLDING LTDA,PJ,Sócio,ID PARTNERS LTDA,52167766000169,SP,minha_receita
2026-03-23,ANTONIO CARLOS AMANCIO,PF,Administrador,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP,minha_receita
